19:37:21 car=True|15.8 pub=20.02 pire=85.7% biais=0.0
19:37:24 car=True|15.8 pub=20.19 pire=85.9% biais=0.0
19:37:27 car=True|15.8 pub=20.19 pire=85.8% biais=0.0
19:37:30 car=True|15.8 pub=20.03 pire=85.6% biais=0.0
19:37:33 car=True|15.9 pub=20.13 pire=85.7% biais=0.0
19:37:36 car=True|15.9 pub=20.13 pire=86.1% biais=0.0
19:37:40 car=True|15.8 pub=20.13 pire=86.1% biais=0.0
19:37:43 car=True|15.7 pub=20.24 pire=86.1% biais=0.0
19:37:47 car=True|15.7 pub=20.12 pire=85.8% biais=0.0
19:37:51 car=True|15.8 pub=20.12 pire=85.9% biais=0.0
19:37:54 car=True|15.8 pub=20.16 pire=85.7% biais=0.0
19:37:57 car=True|15.9 pub=20.16 pire=86.0% biais=0.0
19:38:00 car=True|15.9 pub=20.09 pire=86.2% biais=0.0
19:38:04 car=True|15.8 pub=20.28 pire=86.3% biais=0.0
19:38:07 car=True|15.9 pub=20.17 pire=86.2% biais=0.0
19:38:11 car=True|15.9 pub=20.17 pire=86.5% biais=0.0
19:38:15 car=True|15.7 pub=20.28 pire=86.2% biais=0.0
19:38:18 car=True|15.8 pub=19.94 pire=85.6% biais=0.0
19:38:21 car=True|15.9 pub=19.94 pire=85.6% biais=0.0
19:38:25 car=True|15.8 pub=20.19 pire=85.9% biais=0.0
19:38:28 car=True|15.7 pub=20.06 pire=86.1% biais=0.0
19:38:31 car=True|15.8 pub=20.06 pire=85.4% biais=0.0
19:38:34 car=True|15.9 pub=20.09 pire=85.5% biais=0.0
19:38:37 car=True|15.8 pub=20.05 pire=86.1% biais=0.0
19:38:41 car=True|15.8 pub=20.05 pire=86.1% biais=0.0
19:38:44 car=True|15.8 pub=20.19 pire=86.5% biais=0.0
19:38:47 car=True|16.0 pub=20.19 pire=86.1% biais=0.0
19:38:50 car=True|16.0 pub=20.14 pire=86.8% biais=0.0
19:38:53 car=True|15.9 pub=20.36 pire=87.0% biais=0.0
19:38:57 car=True|15.9 pub=20.36 pire=86.7% biais=0.0
19:39:00 car=True|16.0 pub=20.13 pire=86.4% biais=0.0
19:39:03 car=True|16.0 pub=20.25 pire=86.5% biais=0.0
FIN
